"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.788,0.593972158528552,0.576,0.873824658940717,0.838,0.289,"1","STIL"
0.787,0.763040919882076,0.574,1.10272216030718,1,0.905,"1","CTD-2659N19.10"
0.786,0.73279029776958,0.572,1.11620634061744,1,0.8,"1","GS1-184P14.2"
0.786,0.940715457690159,0.572,1.37891862558354,0.985,0.693,"1","MTND6P4"
0.786,0.411809405417879,0.572,0.630695316525925,1,0.95,"1","RPS3AP47"
0.786,0.601135615063244,0.572,0.876499357891803,0.971,0.582,"1","TIMELESS"
0.786,0.924816153224745,0.572,1.36374062924691,0.853,0.286,"1","COL2A1"
0.785,0.72150758422273,0.57,3.73633892748613,0.779,0.277,"1","RP11-3P17.4"
0.785,0.776786451646228,0.57,1.12166138218365,1,0.823,"1","BIRC5"
0.785,0.717151675191483,0.57,1.03467313388334,1,0.993,"1","HMGN2"
0.784,1.01050984825019,0.568,1.52563510501846,1,0.907,"1","RPL7AP6"
0.784,0.716966468741391,0.568,1.03592310173092,0.985,0.916,"1","TMPO"
0.784,0.641356005290678,0.568,1.24108388292267,0.941,0.414,"1","RP11-16F15.2"
0.784,1.08173793872116,0.568,1.57012481403889,0.897,0.414,"1","DNA2"
0.783,0.87226164939419,0.566,1.25898861919944,1,0.945,"1","HMGB3"
0.783,0.50613156426912,0.566,0.731951488464004,0.985,0.605,"1","CENPU"
0.783,0.672861159686794,0.566,0.971574960399494,1,0.998,"1","HMGB1P5"
0.783,0.792168831302673,0.566,1.14300187737834,1,0.986,"1","RAN"
0.782,0.500351502552914,0.564,0.725647902075546,0.971,0.491,"1","KIAA1524"
0.782,0.256872132174778,0.564,0.3712312919696,1,0.695,"1","FANCD2"
0.782,1.37922357980666,0.564,1.99851797433147,0.897,0.411,"1","PARPBP"
0.781,1.25108884147078,0.562,2.33272811264051,0.853,0.368,"1","FAM166A"
0.781,0.78005289141876,0.562,1.16660285816312,0.956,0.545,"1","HMGA1"
0.781,0.633263436579415,0.562,0.933870829206101,0.956,0.457,"1","RTKN2"
0.78,1.01763839950228,0.56,1.47590212253765,0.956,0.518,"1","PRPS2"
0.78,1.56125754600656,0.56,2.29076003207615,0.809,0.307,"1","U2.3"
0.78,0.937991347378634,0.56,1.35966429790074,0.912,0.414,"1","CDCA8"
0.779,1.2939988671829,0.558,1.89670648098425,0.824,0.325,"1","ZCCHC9"
0.779,0.604272147370922,0.558,0.872850117167774,1,0.977,"1","H3F3AP4"
0.779,0.342504338514575,0.558,2.73741241880402,0.662,0.152,"1","RPL12P38"
0.779,1.48746187807223,0.558,2.16519724851116,0.809,0.33,"1","RNU2-1.8"
